Name,Category,Share
Wereldmuseum,visual_art,14.82159195
Wereldmuseum,geography,11.25343092
Wereldmuseum,people,9.698078683
Wereldmuseum,religion,8.417200366
Wereldmuseum,biology,7.868252516
Wereldmuseum,architecture,4.3915828
Wereldmuseum,business,2.836230558
Wereldmuseum,abstract_concept,2.653247941
Wereldmuseum,fashion,2.470265325
Wereldmuseum,language,2.378774016
Wereldmuseum,tool,2.378774016
Wereldmuseum,geology,2.012808783
Wereldmuseum,time,1.738334858
Wereldmuseum,medicine,1.463860933
Wereldmuseum,mythology,1.463860933
Wereldmuseum,symbol,1.463860933
Wereldmuseum,book,1.372369625
Wereldmuseum,chemistry,1.372369625
Wereldmuseum,culture,1.280878317
Wereldmuseum,event,1.280878317
Wereldmuseum,food,1.280878317
Wereldmuseum,astronomy,1.189387008
Wereldmuseum,music,1.189387008
Wereldmuseum,government,0.914913083
Wereldmuseum,meteorology,0.914913083
Wereldmuseum,military,0.914913083
Wereldmuseum,boats,0.823421775
Wereldmuseum,education,0.823421775
Wereldmuseum,household_goods,0.731930467
Wereldmuseum,other,0.731930467
Wereldmuseum,emotion,0.640439158
Wereldmuseum,fictional_universe,0.640439158
Wereldmuseum,royalty,0.640439158
Wereldmuseum,society,0.640439158
Wereldmuseum,dataworld,0.54894785
Wereldmuseum,history,0.54894785
Wereldmuseum,nature,0.457456542
Wereldmuseum,philosophy,0.457456542
Wereldmuseum,transportation,0.457456542
Wereldmuseum,action,0.365965233
Wereldmuseum,beverage,0.365965233
Wereldmuseum,physics,0.365965233
Wereldmuseum,law,0.274473925
Wereldmuseum,weapon,0.274473925
Wereldmuseum,agriculture,0.182982617
Wereldmuseum,organization,0.182982617
Wereldmuseum,projects,0.182982617
Wereldmuseum,time_series,0.182982617
Wereldmuseum,computer,0.091491308
Wereldmuseum,entertainment,0.091491308
Wereldmuseum,games,0.091491308
Wereldmuseum,mathematics,0.091491308
Wereldmuseum,sports,0.091491308
Every Treasure Tells a Story,,
Every Treasure Tells a Story,,
Every Treasure Tells a Story,geography,13.07972903
Every Treasure Tells a Story,people,9.900990099
Every Treasure Tells a Story,biology,7.087024492
Every Treasure Tells a Story,visual_art,6.357477853
Every Treasure Tells a Story,religion,4.794163627
Every Treasure Tells a Story,medicine,3.856175091
Every Treasure Tells a Story,architecture,3.804064617
Every Treasure Tells a Story,business,3.647733194
Every Treasure Tells a Story,tool,2.866076081
Every Treasure Tells a Story,time,2.709744659
Every Treasure Tells a Story,abstract_concept,2.657634184
Every Treasure Tells a Story,fashion,2.657634184
Every Treasure Tells a Story,astronomy,2.397081813
Every Treasure Tells a Story,chemistry,2.084418968
Every Treasure Tells a Story,royalty,2.032308494
Every Treasure Tells a Story,education,1.875977071
Every Treasure Tells a Story,music,1.875977071
Every Treasure Tells a Story,physics,1.771756123
Every Treasure Tells a Story,philosophy,1.719645649
Every Treasure Tells a Story,government,1.667535175
Every Treasure Tells a Story,food,1.459093278
Every Treasure Tells a Story,language,1.459093278
Every Treasure Tells a Story,meteorology,1.354872329
Every Treasure Tells a Story,book,1.094319958
Every Treasure Tells a Story,geology,1.042209484
Every Treasure Tells a Story,culture,0.99009901
Every Treasure Tells a Story,event,0.99009901
Every Treasure Tells a Story,mathematics,0.99009901
Every Treasure Tells a Story,emotion,0.937988536
Every Treasure Tells a Story,mythology,0.937988536
Every Treasure Tells a Story,action,0.833767587
Every Treasure Tells a Story,entertainment,0.781657113
Every Treasure Tells a Story,military,0.781657113
Every Treasure Tells a Story,boats,0.677436165
Every Treasure Tells a Story,fictional_universe,0.677436165
Every Treasure Tells a Story,sports,0.573215216
Every Treasure Tells a Story,transportation,0.573215216
Every Treasure Tells a Story,computer,0.521104742
Every Treasure Tells a Story,history,0.468994268
Every Treasure Tells a Story,other,0.416883794
Every Treasure Tells a Story,weapon,0.416883794
Every Treasure Tells a Story,household_goods,0.364773319
Every Treasure Tells a Story,symbol,0.364773319
Every Treasure Tells a Story,time_series,0.364773319
Every Treasure Tells a Story,beverage,0.312662845
Every Treasure Tells a Story,dataworld,0.312662845
Every Treasure Tells a Story,nature,0.260552371
Every Treasure Tells a Story,organization,0.260552371
Every Treasure Tells a Story,communication,0.208441897
Every Treasure Tells a Story,law,0.208441897
Every Treasure Tells a Story,agriculture,0.156331423
Every Treasure Tells a Story,games,0.104220948
Every Treasure Tells a Story,internet culture,0.104220948
Every Treasure Tells a Story,Film,0.052110474
Every Treasure Tells a Story,opera,0.052110474
Every Treasure Tells a Story,theater,0.052110474